archive_url,archive_timestamp,url_href,url_domain,url_string,url_index,url_is_story,url_width,url_height,url_x,url_y,url_cell,url_font_size
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,0,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://nypost.com/2014/10/29/cdc-admits-droplets-from-a-sneeze-could-spread-ebola/,nypost.com,CDC: EBOLA SNEEZE WARNING...,1,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://www.infowars.com/government-agencies-scramble-to-purchase-hazmat-suits/,www.infowars.com,Feds Scramble for HAZMAT Suits...,2,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://www.dailymail.co.uk/news/article-2814208/Quarantined-Ebola-nurse-defies-orders-stay-home-goes-bike-ride-boyfriend.html,www.dailymail.co.uk,Defiant Nurse Goes For Bike Ride...,3,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0CCEQqQIwAA&url=http%3A%2F%2Fonline.wsj.com%2Farticles%2Fobama-may-cut-deportations-1414626089&ei=HGdSVLHZCqnksASH84GoBQ&usg=AFQjCNGKKyOLncB3FXS8EurghYPNVw5mHQ&sig2=vPyrQJ71dJjxmLFUJ1Xyzw&bvm=bv.78597519,d.cWc",www.google.com,OBAMA PREPARES AMNESTY PLAN,4,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://www.drudgereport.com/,www.drudgereport.com,,5,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://www.newscientist.com/article/mg22429934.000-brain-decoder-can-eavesdrop-on-your-inner-voice.html,www.newscientist.com,Brain decoder can eavesdrop on your inner voice...,6,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://www.nationalreview.com/article/391474/non-citizens-are-voting-john-fund,www.nationalreview.com,CAROLINA VOTE FRAUD EXPOSED...,7,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://www.youtube.com/watch?v=fhjq6y1frPQ,www.youtube.com,O'KEEFE STRIKES AGAIN: VIDEO...,8,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://pjmedia.com/tatler/2014/10/29/massive-non-citizen-voting-uncovered-in-maryland/,pjmedia.com,Voters sue Maryland over 'massive' fraud by illegals...,9,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://www.businessweek.com/articles/2014-10-30/tim-cook-im-proud-to-be-gay,www.businessweek.com,COLUMN: iGay...,10,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://news.yahoo.com/watchdog-faults-u-grenade-trafficking-probe-tied-fast-172924364.html,news.yahoo.com,Watchdog faults U.S. grenade-trafficking probe tied to 'Fast and Furious'...,11,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://betabeat.com/2014/10/googles-new-computer-with-human-like-learning-abilities-will-program-itself/,betabeat.com,GOOGLE COMPUTER TO PROGRAM SELF...,12,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://www.washingtonpost.com/blogs/the-switch/wp/2014/10/29/headed-to-the-movies-get-ready-to-leave-your-google-glass-at-home/,www.washingtonpost.com,'Glass' Banned at Movie Theaters...,13,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-30 18:05:13.079232,http://news.yahoo.com/scientists-build-mini-stomachs-lab-191647875.html,news.yahoo.com,Scientists build 'mini-stomachs' in lab...,14,False,None,None,None,None,None,None
